id,title,description,marker-size,marker-color,marker-symbol,lon,lat,name,gx_media_links,lid,org,,Source,URL,styleUrl,styleHash,Title,Description
,Video: swimming with salmon,"Mark has encountered thousands of salmon migrating upriver to spawn <p>Watch the underwater video below:</p>

<iframe src=""https://player.vimeo.com/video/139857141?color=c9ff23"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>",,,swimming,-122.32315,47.534356,Video: swimming with salmon,https://swimduwamishproject.files.wordpress.com/2015/08/adult-salmon.png,,,,,,,,,
marker-irr3b06s0,harbornav,"<blockquote class=""embedly-card"" data-card-key=""5421a3ea57ce42d281a56c1f75820529"" data-card-controls=""0"" data-card-image=""http://www.nws.usace.army.mil/Portals/_default/Skins/USArmyCorps/Images/ICO_USACE.GIF"" data-card-type=""article-full""><h4><a href=""http://www.nws.usace.army.mil/Missions/Civil-Works/Programs-and-Projects/Projects/Seattle-Harbor/"">Seattle District > Missions > Civil Works > Programs and Projects > Projects > Seattle Harbor</a></h4><p>U.S. Army Corps of Engineers officials are seeking public comments on the Seattle Harbor Navigation Improvement Project Draft Feasibility Report and Environmental Assessment. The C orps and Port of Seattle prepared the Draft Integrated Feasibility Report and Environmental Assessment. It, and supporting documents, are available below for viewing and download.</p></blockquote>
<script async src=""//cdn.embedly.com/widgets/platform.js"" charset=""UTF-8""></script>",medium,#d27591,industrial,-122.344779,47.582662,,,,,,,,,,,
,Video: swimming with Martha and Sheida,"There’s nothing like getting immersed in your work, especially when your work is saving Puget Sound. Getting underwater helps us see things from a fish’s point of view and it’s good fun on a hot day. Just ask Martha and Sheida, our first guest swimmers

<iframe src=""https://player.vimeo.com/video/135591507?color=c9ff23"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>",,,swimming,-122.208716,47.336379,Video: swimming with Martha and Sheida,https://scontent-sea1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1549307_10153493256713638_4650757472666047401_n.jpg?oh=43c5e1a33ea481ae4e4aa23d535b659a&oe=5681E781,,,,,,,,,
marker-iry639p60,rowing,"<body>
 
  <h1>Duwamish Rowing Club</h1>
  <p> Making Some <strong>Amazing</strong> Memories!</p>
  <img src=""http://duwamishrowingclub.org/wp/wp-content/gallery-bank/gallery-uploads/o_1ahrjkq3d1i5vgui63qhos1a724b.jpg"">
 <p>
Hi my name is Jonnie Suggs, and I am a member of the duwamish rowing team. The reason I used this picture is because I think it is one of the best pictures that was taken of our team, and I just really enjoy the sunset.
  </p>  
  <img src=""http://duwamishrowingclub.org/wp/wp-content/gallery-bank/gallery-uploads/o_1ahrj3ghh1uhagr1k87knm7bom.jpg"">
  <p>  My name is James Suggs, I started rowing in 2010. I got into rowing by my mother, she introduced me to Michael Merta who then invited my sisters and I to start rowing. We were the first rowers on the team. Every year I got better and better at rowing, and I became more competitive. Over time our crew started growing and more people started joining. We started to go to rowing regattas, and by 2016 we had a pretty much had a full team.
</p>
</body>",medium,#1087bf,swimming,-122.318081,47.530343,,,,,,,,,,,
,Video: The adventure begins,"Learn more about Mark's Swim Duwamish adventure with this video:
<iframe src=""https://player.vimeo.com/video/129678278?color=c9ff23"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>",,,swimming,-121.311802,47.142454,Video: The adventure begins,https://i.vimeocdn.com/video/521580795_640.jpg,,,,,,,,,
marker-ila2cgjt1,skatepark,"  <h1>Skatepark Renewal </h1> 
  <img src=""https://s3-us-west-2.amazonaws.com/dvyc/images/IMG_0274_resized.JPG"" alt=""not working!!!"" height=""350"">
                                   
  <h2>
    Goal
  </h2>
  <p>To keep the Skatepark clean and to make sure people are able to feel safe there when they visit. Keep it healthy for the community and the environment as well.
    
  </p>
  
  <h2> 
    Status
  </h2>
  Skate Park maintained by River City Skate Park organization. Site owned by SeaMar. 16 trees planted here as part of Duwamish Opportunity Fund. 
  <h2>
    Challenges
  </h2>
   <ul>
    <li>A lot of people go there to do drugs sometimes.</li>
    <li>People have found uncapped needles which are dangerous either way.</li>
    <li>Lot's of trash found everywhere.</li>
    <li>Alley was also blocked off by thorn bushes.</li>
  </ul>   
  
  <h2>
    Progress Detail 
  </h2>
  
  <p>What the DRCC(Duwmaish River Clean-UP Coalition) did was brought more awareness to the Skatepark. They icked up a lot of trash in the area. They also safely and properly disposed of any needles used for drugs into safe containers provided by the Seattle Health Department. The Drcc also cut down and moved all the thorn bushes blocking out the alley.  </p>",medium,#1087bf,park2,-122.323837,47.526547,,,,,,,,,,,
marker-inv2tx744,Terminal 117 Early Action Area,"<b>Terminal 117 Early Action Area</b>
<img src=""http://www.ecy.wa.gov/programs/tcp/sites_brochure/lower_duwamish/sites/terminal_117/2010_Jan_Update/T-117%20bank_smaller%20.jpg"">

<small> The plan was to remove PCB-contaminated sediments from the site of the former Duwamish Manufacturing and Malarkey Asphalt Company, in the South Park neighborhood. <br><br>For more information please check out the<a href=""https://yosemite.epa.gov/r10/cleanup.nsf/sites/t117""> EPA website</a>.
</small>
",,,danger,-122.310533,47.526474,,,,,,,,,,,
marker-ila9l40q5,12th-and-elmgrove,"<h1>12th Ave and Elmgrove St</h1>
 <img src=""https://s3-us-west-2.amazonaws.com/dvyc/12th--Elmgrove-from-Bobs-house.jpg"" height=""350"">
<h2>
Goal
</h2>
<p>• River viewing area, public art and shoreline habitat restoration </p>
 <h2>
Status
</h2>
• Seattle Public Utilities rewriting contract for design early 2016
<h2>
Challenges
</h2>
• Mulitple jurisdictions involved
<h2> Progress Detail </h2>
<p>• Private donation for design services available end of 2015  </p>
<h2>Next Step</h2>
<p>• Awaiting contract from SPU</p>",medium,#1087bf,park2,-122.3177,47.530459,,,,,,,,,,,
,Howard A. Hanson Resevoir,"The Howard A. Hanson reservoir provides flood control for the surrounding communities, and drinking water for the city of Tacoma. ",,,,-121.727314,47.245211,Howard A. Hanson Resevoir,,,,,,,,,,
,Lester,"A part of the Green River's rich history, the town of Lester was founded by the Northern Pacific Railway in 1892. Although it once was home to 1,000 Lester is now considered a ""Ghost Town"". ",,,,-121.49291,47.209365,Lester,,,,,,,,,,
marker-inv3nide0,Duwamish Longhouse and Cultural Center,"<b>Duwamish Longhouse and Cultural Center</b>
<img src=""https://batgurrl.files.wordpress.com/2015/12/dscn7805.jpg?w=2000&h=1500&crop=1"">

<small>The Duwamish Longhouse and Cultural Center was opened in 2009 on purchased land near the ancient Duwamish village of Ha-AH-Poos, which is located near the mouth of the Duwamish River. The Longhouse provides important regional resource for tribal members and researchers who are interested in Duwamish history and culture. <br><br>For more information about Longhouse hours and exhibit please check out their <a href=""http://www.duwamishtribe.org/longhouse.html""> website </a>.
</small>
",,,park2,-122.352005,47.560984,,,,,,,,,,,
marker-icfe3jqp1,Trail beginning,"<img src=""http://smartercleanup.org/scarytrail/2-before_titled.jpg"" alt=""New plants after"" style=""width:256px"">
<br>
<img src=""http://smartercleanup.org/scarytrail/2-after_titled.jpg"" alt=""New plants after"" style=""width:256px"">",medium,#1087bf,park2,-122.323064,47.525482,,,,,,,,,,,
marker-icfe07p30,Walking Trail & Concord Street,"<img src=""http://smartercleanup.org/scarytrail/1-before_titled.jpg"" alt=""New plants after"" style=""width:256px"">
<br>
<img src=""http://smartercleanup.org/scarytrail/1-after_titled.jpg"" alt=""New plants after"" style=""width:256px"">",medium,#1087bf,park2,-122.321509,47.523924,,,,,,,,,,,
marker-ila2ftls2,14th-ave,"  <h1>14 AVE</h1> 
  <img src=""https://s3-us-west-2.amazonaws.com/dvyc/14th-ave-pic.png"" alt=""14th ave South Park"">
  <h1>
    goals
  </h1>
  <p> 
  <ul>
  <li>Pedestrian friendly elements</li>
  <li>covered bus shelters</li>
  <li>wayfinding</li>
  <li>street trees</li>
  <li>public art</li>
  <li>fruit trees</li>
  <li>traffic calming</li>
  </ul>
  </p>
  <h1>
    status
  </h1>
  <p>
   <li>SPU to install a stormwater and sewer pipe along the corridor</li> 
   </p>
  <h1>
    progress detail
  </h1>
  <p>
    <li>Retail Merchants Assocation providing aesthetic improvements</li> 
  </p>
  <h1>
    challenges and barriers
  </h1>
  <p>
    <li>Retail Merchants Assocation providing aesthetic improvements</li> 
  </p>
  <h1>
    next steps
  </h1>
  <p>
    have the youth program clean up 14th ave
  </p>",medium,#1087bf,park2,-122.314696,47.527459,,,,,,,,,,,
marker-inb1uidk0,Ameriflight LLC,"<b>Ameriflight LLC</b>
<img src=""http://media.bizj.us/view/img/2688951/ameriflight-day-117054-4x6*750xx1800-1013-0-94.jpg"">

<small>A Clean Water Act lawsuit against Amerifligt LLC was settled in July 2014. The commercial air cargo carrier was required to inspect and maintain catch basin filters to reduce pollutants flowing to the Duwamish River.     <br><br>For more information please check out: <ul> <li><a href=""http://www.pugetsoundkeeper.org/programs/monitoring/strategy-citizen-lawsuits/""> PUGET SOUNDKEEP Citizen Lawsuit page</a> </li>           <li> <a href=""http://www.pugetsoundkeeper.org/2014/08/18/sounder-newsletter-summer/""> PUGET SOUNDKEEP News page</a> </li>

</ul></small>
",,,industrial,-122.297229,47.533544,,,,,,,,,,,
marker-inv2ry9a2,Boeing Plant 2 Early Action Area,"<b>Boeing Plant 2 Early Action Area</b>
<img src=""http://www.boeing.com/resources/boeingdotcom/principles/environment/images/duwamish_cleanup/duwamish_cleanup2_300x200.jpg"">

<small>Sediment and upland cleanup project at former Boeing airplane manufacturing facility. <br><br>For more information please check out the<a href=""https://yosemite.epa.gov/r10/CLEANUP.NSF/sites/BP2""> EPA website </a>.
</small>
",,,danger,-122.31637,47.531053,,,,,,,,,,,
marker-icfeq6u04,Art fence,"<img src=""http://smartercleanup.org/scarytrail/4-before_titled.jpg"" alt=""New plants after"" style=""width:256px"">
<br>
<img src=""http://smartercleanup.org/scarytrail/4-after_titled.jpg"" alt=""New plants after"" style=""width:256px"">",medium,#1087bf,park2,-122.321809,47.524272,,,,,,,,,,,
,swim,"<h1>Mark Powell Swims the Duwamish</h1>

<iframe src=""https://player.vimeo.com/video/140933613"" width=""450"" height=""281"" frameborder=""0"" webkitallowfullscreen mozallowfullscreen allowfullscreen></iframe>

<p>Mark Powell of Washington Environmental Council swam the length of the Green and Duwamish Rivers, from the headwaters in the Cascades to the saltwater of Puget Sound. His journey highlights the need to clean up the river in order to protect the Sound. More information at swimduwamish.org and on Instagram <a href=""http://Instagram.com/swimduwamish"">@swimduwamish</a></p>",,,swimming,-122.362606,47.586233,Mark's Progress,,,,,,,,,,
marker-ijjnt7s40,orcas,"Lots of new babies in the last year. Good news for this endangered species of Puget Sound.
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/-7E7FTSsbkg"" frameborder=""0"" allowfullscreen></iframe>",medium,#1087bf,zoo,-122.370872,47.6057,,,,,,,,,,,
marker-inb2rfbh1,Foss Maritime and Terminal 5 ,"<b> Foss Maritime and Terminal 5</b>
<img src=""http://westseattleblog.com/blog/wp-content/uploads/2015/01/Port-of-Seattle-Harbor-Island-Seattle-Washington-Large-e-mail-view-1-e1420907274205.jpg"">

<small>The Port of Seattle signed a lease with Foss Maritime to use Terminal 5 to service part of Shell’s Arctic Oil exploration fleet. The use of Terminal 5 will create potential pollution to nearby water including Duwamish River. A lawsuit has been brought up by conservation groups to against the leasing of Terminal 5 to Foss Maritime. <br><br>For more information please check out the following articles: 

<ul>
  <li><a href=""http://www.seattletimes.com/business/port-of-seattle-deal-with-foss-maritime-has-first-court-hearing/
""> Port of Seattle Deal with Foss Maritime Has First Court Hearing 
</a></li>
  <li><a href=""http://www.seattletimes.com/business/judge-to-hear-case-against-port-of-seattle-deal-with-foss-maritime/
""> Judge to Hear Case Against Port of Seattle Deal with Foss Maritime 
</a></li>
  <li><a href=""http://www.pugetsoundkeeper.org/2015/03/02/conservation-groups-file-lawsuit-challenging-the-port-of-seattles-decision-to-make-seattle-a-homeport-for-shells-arctic-drilling-fleet/
""> Conservation Groups File Lawsuit Challenging the Port of Seattle Decision to Make Seattle a Homeport for Shells Arctic Drilling Fleet 
</a></li>
</ul>

</small>
",,,industrial,-122.365722,47.577452,,,,,,,,,,,
ci2qyz5f20ie9a6s4dky1h1xk,Duwamish Hill Preserve,,,,park2,-122.285522,47.501068,Duwamish Hill Preserve,,,,,,,#icon-145,4d09cf07,,
ci2qyz5f50ieba6s4frvf8643,shoreline challenge,"			<div id=""content"">
				<div id='wsite-content' class='wsite-elements wsite-not-footer'>
<div><div style=""text-align: left;""><a><img src=""http://duwamishalive.org/uploads/3/3/0/4/3304643/1444279960.jpg"" style=""margin-top: 0; margin-bottom: 0; margin-left: 0; margin-right: 10px; border-width:1px;padding:6px;"" alt=""Picture"" class=""galleryImageBorderBlack"" /></a><div style=""display: block; font-size: 90%; margin-top: -0; margin-bottom: 0;""></div></div></div>


<div class=""paragraph"" style=""text-align:left;display:block;""><font size=""5""><strong>Restore the Duwamish Shoreline Challenge</strong></font><br /><font size=""4"">12770 Gateway Dr.</font><br /><font size=""4"">Tukwilla, WA 98168</font><br /><span></span><br /><br /><font size=""3"">Join volunteers all along the  Duwamish River today as part of the larger Duwamish Alive! Celebration  to help restore this important waterway in the Tukwila/South Seattle  community.&nbsp; At this location, we'll focus on removing invasive weeds,  mulching and planting native plants. <br /><br /><span></span>Inspired by the efforts of the BECU employees who independently began  restoration work on over 10,000 square feet of shoreline along the  Duwamish River, and through a partnership with Forterra and the City of  Tukwila, BECU is issuing a friendly challenge to other businesses along  the river to join in restoring the shoreline habitat. Local businesses  can participate by donating money, volunteer labor, or both.<br /><span style=""""></span><br /><span style=""""></span>  	Much of the banks of the Duwamish River are overgrown with invasive  plants such as Himalayan blackberry that have choked out native  vegetation. These invasive species are destroying vital habitat for  salmon and other native wildlife, and make it more difficult for  Tukwila&rsquo;s workers and residents to enjoy the river.<br /><span style=""""></span><br /><span style=""""></span>  	Through the Restore the Duwamish Shoreline Challenge, we aim to unite  Tukwila&rsquo;s business community for this local environmental cause. There will be regularly scheduled events that will ultimately restore 150,000 square feet of riverbank along almost 1.5 miles of the Duwamish River.<br /><span style=""""></span><br />How You Can Get Involved: </font><ul style=""""><li style=""""><font size=""3""> 		Sponsor a section of the river.&nbsp; Funding is needed to purchase  restoration materials, recruit and support volunteers, and maintain  newly planted shoreline areas. Challenge sponsors will also receive  recognition at our launch event and will be featured in publicity  materials.</font></li><li style=""""><font size=""3""> 		Organize a team of volunteers to help with restoration projects.  Volunteer leaders can receive special training and help their workplace  get involved.</font></li><li style=""""><font size=""3""> 		Grant access. Much of the shoreline we hope to restore is on private  property. Granting permission for Challenge participants to work on your  property is a simple, but crucial step for our success.</font></li><li style=""""><font size=""3""> 		Help get the word out.&nbsp; Help others learn about the Challenge by  putting up fliers, and by informing clients, customers, and colleagues.</font></li><li style=""""><font size=""3""> 		Join a volunteer event. <u style=""""><strong style=""""><a title="""" style="""" href=""http://www.forterra.org/events/category/42"">check our Events Calendar</a></strong></u> to find the next volunteer&nbsp;restoration&nbsp;event at the Duwamish.</font></li></ul>  	<br /><span></span><font size=""4"">To volunteer or join the challenge, please contact:</font><br /><font size=""4""><span style=""line-height: 27px;""><br /></span></font><strong><font size=""4"">Hayes Swinney, Forterra &nbsp;&nbsp;</font></strong><br /><strong style=""font-size: medium;"">Email:</strong><font size=""3""> hswinney@forterra.org</font><br /><font size=""4""><strong>Phone: </strong>206-905-6909</font><br /><br /></div>
<hr style=""clear:both;visibility:hidden;width:100%;""></hr>



<h2 style=""text-align:left;"">Sponsors<br /></h2>

<div><div class=""wsite-multicol""><div class='wsite-multicol-table-wrap' style='margin:0 -15px'>
<table class='wsite-multicol-table'>
<tbody class='wsite-multicol-tbody'>
<tr class='wsite-multicol-tr'>
<td class='wsite-multicol-col' style='width:33.333333333333%;padding:0 15px'>



</td>
<td class='wsite-multicol-col' style='width:33.333333333333%;padding:0 15px'>



</td>
<td class='wsite-multicol-col' style='width:33.333333333333%;padding:0 15px'></td>
</tr>
</tbody>
</table>
</div></div></div></div>

				<div class=""clear""></div>
			</div>
		</div>",,,park2,-122.271651,47.489834,Restore the Duwamish Shoreline Challenge,,,,,,,#icon-145,4d09cf07,,
ci2qyz5f70ieca6s4if6uflgv,Herrings House,"<h2 style=""text-align:left;"">Herring's House<br /></h2>
<span class='imgPusher' style='float:left;height:0px'></span><span style='position:relative;float:left;z-index:10;;clear:left;margin-top:0px;*margin-top:0px'><a><img class=""wsite-image galleryImageBorder"" src=""/uploads/3/3/0/4/3304643/7867091.png"" style=""margin-top: 5px; margin-bottom: 10px; margin-left: 0px; margin-right: 10px; border-width:1px;padding:3px;"" alt=""Picture"" /></a><div style=""display: block; font-size: 90%; margin-top: -10px; margin-bottom: 10px; text-align: center;""></div></span>
<div class=""paragraph"" style=""text-align:left;display:block;""><font size=""4"">Herring&rsquo;s House is a 15.5 acre location was built in 1999 primarily as  habitat for juvenile Chinook salmon.&nbsp; The site is built around a  constructed intertidal estuary connected to the Duwamish River. The park  features a picnic area, parking area, 3 viewpoints of the Duwamish  River and the estuary and trails through the woodland buffers that  surround the estuary.</font><br /><br /><span></span><br /><font size=""5""><strong>To Volunteer:</strong></font><br /><br /><font size=""3""><span></span></font><strong style=""font-size: medium;"">Phil Renfrow,</strong>&nbsp;<strong style=""font-size: medium;"">Volunteer Coordinator</strong><br /><font size=""3""><span style=""""></span></font> <strong style=""font-size: medium;""><a title="""" style="""" href=""http://www.seattle.gov/parks/"" target=""_blank"">Seattle Parks and Recreation</a></strong><br /><br /><font size=""3""><span></span><strong>Email:</strong> phil.renfrow@seattle.gov</font><br /><strong style=""font-size: medium;"">Phone: (206) 423-1677</strong><br /><span style=""""></span><br /><span style=""""></span><br /><span></span><br /></div>
<hr style=""clear:both;visibility:hidden;width:100%;""></hr>

</td>
</tr>
</tbody>
</table>
</div></div></div></div>

				<div class=""clear""></div>
			</div>
		</div>",,,park2,-122.350321,47.562182,Herring's House,,,,,,,#icon-145,4d09cf07,,
